IMPORTADOR,PROVEEDOR,DESPACHO,CONOCIMIENTO,FECHA,ITEM,POSICION ARANCELARIA,RUBRO,DESCRIPCION DE LA POSICION,MERCADERIA,DESTINACION,REGIMEN,ADUANA,MEDIO,PAIS ORIGEN,PAIS PROCEDENCIA,VALOR FOB U$S,VALOR FLETE U$S,VALOR SEGURO U$S,VALOR CIF U$S,CANTIDAD,UNIDAD MEDIDA,PRECIO UNITARIO,KGS BRUTO,KGS NETO,SUBITEM,DESCRIPCION SUBITEM,MARCA SUBITEM,CANTIDAD SUBITEM,PRECIO UNITARIO SUBITEM,FOB SUBITEM,DESPACHANTE,ESTADO,FACTURA,VALOR FACTURA,COTIZACION,CANAL,USO,IMPONIBLE U$S,IMPONIBLE GS,AJUSTE A INCLUIR,AJUSTE A DEDUCIR,ACUERDO,DERECHO,ISC,RENTA,IVA,TOTAL,VALOR FINAL,VALOR FINAL POR CANTIDAD
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000001740,4396902976,2022-01-05,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,"ECOGRAFOS Y SUS TRANSDUCTORES, DETALLADOS EN EL SUBITEM",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,,,,,"13,00",UNIDAD,,,,6,TRANSDUCTOR RAB2-6-RS,GE,"1,00","2227,56","2227,56",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,873619513 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
CUERPO DE BOMBEROS VOLUNTARIOS DE NARANJAL,COLLABORATON SANTE INTENATIONALE,22DA000000002473,BUEPSF0098NB-002,2022-01-07,44,9018.12.90.000Y,BIENES DE CAPITAL,LOS DEM?S,LOS DEMAS INSTRUMENTOS Y APARATOS DE MEDICINA EN: UN APARATO DE ULTRASONIDO (ECOGRAFICO) MOD.VOLUSON-E8 CON ACCESORIOS,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,PTO SEGURO FLUVIAL,ACUATICO,ESTADOS UNIDOS DE AMERICA,CANADA,"803,79","113,12","8,04","924,95","1,00",UNIDAD,"803,79","130,00","130,00",,,,,,,RAMIREZ JARA HUGO AUGUSTO,CANC,S/N (DOLAR CANADIENSE),"45347,48","6883,31",R,USADO,"651,43","4483970,00","0,00","340,29",SIN ACUERDO,"0,00","0,00","0,00","0,00","41548,00","657,47","657,4660495"
TECHMED SOCIEDAD DE RESPONSABILIDAD LIMITADA,"VINNO TECNOLOGY (SUZHOU)CO.,LTD",22DA000000002724,47765174,2022-01-06,1,9018.12.90.000Y,BIENES DE CAPITAL,LOS DEM?S,1 UNIDAD DE PORTABLE VINNO6 COLOR ULTRASONIC SYSTEM (INCLUIDING PROBE X4-12L G1-4P G3-10PX),IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,CHINA,"12040,00","1386,18","19,80","13445,98","1,00",UNIDAD,"12040,00","11,50","7,50",,,,,,,DELVALLE MARCIAL,CANC,CI/PY2021121401 (DOLAR ESTADOUNIDENSE),"13580,00","6952,73",V,NUEVO,"13445,98","93486269,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","9417468,00","10276055,00","14923,97","14923,9685"
RECAUCHUTADORA INDUSTRIAL DEL PARAGUAY SRL,SHENZHEN MINDRAY ANIMAL MEDICAL TECHNOLOGY CO.LTD.-,22DA000000008851,CPSE21110814,2022-01-13,1,9018.12.90.000Y,BIENES DE CAPITAL,LOS DEM?S,"LOS DEMAS APARATOS DE DIAGNOSTICO POR EXPLORACION ULTRASONICA:(60)-UNIDADES ECOGRAFOS DIGITAL PARA USOVETERINARIO,CONSUS ACCESORIOS DE NORMA,COMPLETO.-",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,CAMION,CHINA,CHINA,"53240,00","2250,00","124,00","55614,00","60,00",UNIDAD,"887,33","696,40","567,20",1,"UNIDS.SISTEMA DIGITAL DE ULTRASONIDO ECOGRAFOS MODELO 1153B-CTO-S01,PARA DIAGNOSTICO POR IMAGENES,CONSUS ACCESORIOS COMPLETO.-",MINDRAY,"40,00","495,00","19800,00",QUINTANA ORTIZ RAMON EMILIANO,CANC,BPY-VET1519 (DOLAR ESTADOUNIDENSE),"55614,00","6961,50",V,NUEVO,"55614,00","387156861,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","39301354,00","42823811,00","61765,52","1029,425344"
RECAUCHUTADORA INDUSTRIAL DEL PARAGUAY SRL,SHENZHEN MINDRAY ANIMAL MEDICAL TECHNOLOGY CO.LTD.-,22DA000000008851,CPSE21110814,2022-01-13,1,9018.12.90.000Y,BIENES DE CAPITAL,LOS DEM?S,"LOS DEMAS APARATOS DE DIAGNOSTICO POR EXPLORACION ULTRASONICA:(60)-UNIDADES ECOGRAFOS DIGITAL PARA USOVETERINARIO,CONSUS ACCESORIOS DE NORMA,COMPLETO.-",IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,CAMION,CHINA,CHINA,,,,,"60,00",UNIDAD,,,,2,"UNIDS.SISTEMA DIGITAL DE ULTRASONIDO ECOGRAFOS,MODELO 1156B-CTO-S01,P/DIAGNOSTICO POR IMAGENES,CON SUS ACCESORIOS COMPLETO.-",MINDRAY,"20,00","1672,00","33440,00",QUINTANA ORTIZ RAMON EMILIANO,CANC,BPY-VET1519 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000015977,6835758370,2022-01-20,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,PLACA DE SELECCIÂ¿N DE TRANSDUCTORES (PN: NS5766836-2-R ) PARA VIVID S70N,IM04,IMPORTACION MENOR A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,RUMANIA,FRANCIA,"1056,71","100,00","10,56","1167,27","1,00",UNIDAD,"1056,71","4,30","4,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,876990217 (DOLAR ESTADOUNIDENSE),"1056,71","6985,83",V,NUEVO,"1167,27","8154350,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","829991,00","903963,00","1296,67","1296,669513"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000020748,422619129,2022-01-26,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,01.- EQUIPO DE ECOGRAFO VIVID S70N; SERIE NRO: 111756S70N; CON SUS PARTES Y ACCESORIOS CORRESPONDIENTES.-,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,NORUEGA,NORUEGA,"34416,21","1750,79","72,00","36239,00","1,00",UNIDAD,"34416,21","112,00","100,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,874540783 (DOLAR ESTADOUNIDENSE),"36239,00","7055,71",V,NUEVO,"36239,00","255691875,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","25744141,00","28083184,00","40219,21","40219,20667"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000021355,422619083,2022-01-26,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,02.- EQUIPOS DE ECOGRAFOS VIVID S70N; CON SUS PARTES Y ACCESORIOS CORRESPONDIENTES; COD: H45601TR; SERIES NRO. DETALLADOS EN EL SUBITEM.-,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,NORUEGA,NORUEGA,"68832,42","5595,93","144,00","74572,35","2,00",UNIDAD,"34416,21","221,00","196,00",1,SERIE NRO: 111548S70N,G E,"1,00","34416,21","34416,21",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,874540783 (DOLAR ESTADOUNIDENSE),"72478,00","7055,71",N,NUEVO,"74572,35","526160876,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","52926275,00","57704948,00","82750,83","41375,41251"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000021355,422619083,2022-01-26,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,02.- EQUIPOS DE ECOGRAFOS VIVID S70N; CON SUS PARTES Y ACCESORIOS CORRESPONDIENTES; COD: H45601TR; SERIES NRO. DETALLADOS EN EL SUBITEM.-,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,NORUEGA,NORUEGA,,,,,"2,00",UNIDAD,,,,2,SERIE NRO: 111579S70N,G E,"1,00","34416,21","34416,21",GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,874540783 (DOLAR ESTADOUNIDENSE),,,N,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,"128230,00","22879,08","332,62","151441,70","16,00",UNIDAD,"8014,38","846,58","608,92",1,DP-10 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"6,00","3080,00","18480,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),"155573,00","7098,80",V,NUEVO,"151441,70","1075054340,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","108088644,00","117817348,00","168038,50","10502,40611"
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,2,DC-70 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"1,00","21100,00","21100,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,3,DC-40 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"2,00","14850,00","29700,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,4,DC-40 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"1,00","15790,00","15790,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,5,DC-30 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"2,00","12550,00","25100,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,6,Z50 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"2,00","3820,00","7640,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
DEZETA SA,MR GLOBAL (HK) LIMITED,22DA000000022705,41N0512064,2022-01-28,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS DETALLADOS EN EL SUB ITEM;,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,HONG KONG,,,,,"16,00",UNIDAD,,,,7,Z50 SISTEMA DE DIAGNOSTICO POR ULTRASONIDO CON SUS PARTES Y ACCESORIOS,MINDRAY,"2,00","5210,00","10420,00",SCHAERER AYALA EDUARDO WASHING,CANC,30259050 (DOLAR ESTADOUNIDENSE),,,V,NUEVO,,,,,SIN ACUERDO,,,,,,#DIV/0!,#DIV/0!
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ELECTROSOUND AND PCD, LLC",22DA000000033196,8186928271,2022-02-15,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,TRANSDUCTOR 3SC-RS (PN: 5863286) PARA VIVID T9 SN: 1071200WX8,IM04,IMPORTACION MENOR A CONSUMO CON DOCUMENTO DE TRANSPORTE,AEROP. PETTIROSSI,AVION,CHINA,ESTADOS UNIDOS DE AMERICA,"1496,65","50,00","14,96","1561,61","1,00",UNIDAD,"1496,65","0,68","0,50",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,879110570 (DOLAR ESTADOUNIDENSE),"1496,65","6956,59",N,NUEVO,"1561,61","10863481,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","1102215,00","1200621,00","1734,20","1734,197575"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000036001,4431701921,2022-02-17,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,08. - EQUIPOS DE ECOGRAFOS LOGIQ P9; CON SUS PARTES Y ACCESORIOS CORRESPONDIENTES,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,COREA DEL SUR,COREA DEL SUR,"170790,41","29496,37","409,60","200696,38","8,00",UNIDAD,"21348,80","893,00","797,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,875620461 (DOLAR ESTADOUNIDENSE),"200000,00","6939,68",R,NUEVO,"200696,38","1392768585,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","140020350,00","152615825,00","222688,15","27836,01836"
SOLUMEDIC SA,"GENERAL ELECTRIC MEDICAL SYSTEMS, ULTRASOUND AND PCD, LLC",22DA000000036387,4396930489,2022-02-17,1,9018.12.10.000V,BIENES DE CAPITAL,EC?GRAFOS CON AN?LISIS ESPECTRAL DOPPLER,05. - EQUIPOS DE ECOGRAFOS VERSANA BALANCE; CON SUS PARTES Y ACCESORIOS CORRESPONDIENTES,IC04,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE,SOLUCION LOGISTICA,AVION,CHINA,CHINA,"42168,00","23753,70","250,00","66171,70","5,00",UNIDAD,"8433,60","437,00","340,00",,,,,,,GONZALEZ RETAMOZO RUBEN EFIGEN,CANC,875476178 (DOLAR ESTADOUNIDENSE),"60200,00","6939,68",R,NUEVO,"66171,70","459210423,00","0,00","0,00",SIN ACUERDO,"0,00","0,00","0,00","46197755,00","50372535,00","73430,33","14686,06501"
